Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
0,Sydney Swans,Carlton,Sydney Swans,68.9,20
0,Gold Coast Suns,Geelong Cats,Geelong Cats,50.89,1
0,GWS Giants,Hawthorn,GWS Giants,54.94,5
0,Brisbane Lions,Western Bulldogs,Brisbane Lions,60.42,11
0,St Kilda,Collingwood,Collingwood,51.55,2
1,Carlton,Richmond,Carlton,72.76,25
1,Essendon,Hawthorn,Hawthorn,63.57,14
1,Western Bulldogs,GWS Giants,Western Bulldogs,58.14,8
1,Geelong Cats,Fremantle,Geelong Cats,64.17,15
1,Sydney Swans,Brisbane Lions,Sydney Swans,66.34,17
1,Collingwood,Adelaide Crows,Collingwood,74.33,27
1,North Melbourne,Port Adelaide,North Melbourne,64.84,15
1,Melbourne,St Kilda,Melbourne,54.55,5
1,Gold Coast Suns,West Coast Eagles,Gold Coast Suns,79.12,33
2,Hawthorn,Sydney Swans,Hawthorn,70.31,22
2,Adelaide Crows,Western Bulldogs,Adelaide Crows,56.37,6
2,Richmond,Gold Coast Suns,Gold Coast Suns,53.97,4
2,GWS Giants,St Kilda,GWS Giants,77.81,31
2,Fremantle,Melbourne,Melbourne,50.48,1
2,Port Adelaide,Essendon,Port Adelaide,53.47,3
2,West Coast Eagles,North Melbourne,North Melbourne,70.84,22
